Id;StartDate;Submit Date;NetworkID;Age;Gender;WorkingStatus;GeoLocation;BanksOpenAccount;WhyBank;ATMUsage;BankServices;EsejMobilno;InternetBankMoreUsage;ScoreBankingServices;InternetSafety;InternetBankingSafety;YouthBenefits
46;25.3.2015 0:02;25.3.2015 0:08;b38b62ea8b674c0a7a9ff87ba81e25d702f884ce;Od 19 do 25;Muško;Student/ica + zaposlen/a;Grad Zagreb;PBZ;Pristupaènost;Dva do èetiri puta tjedno;"Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;Sve je savršeno, ne bih ništa promijenio/la;5;4;4;5
50;25.3.2015 0:34;25.3.2015 1:13;091c581366447222ff3ad1dc891f5a73bc3f2fda;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Pristupaènost;Jednom u dva tjedna;Studentski paket (uljuèuje sve);;Bolja uputstva za postavljanje Internet usluga;1;3;2;4
51;25.3.2015 5:57;25.3.2015 6:02;b50807e30aaa68aaf1bc9b7e253a49ff7f63d8e1;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Hpb;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;"Štednja; Provjera stanja na raèunu";Nista;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;4;4;5
55;25.3.2015 6:56;25.3.2015 7:03;acdcaa865dbc546d6f307c9ffe08fca3c5c979b4;Od 19 do 25;Žensko;Student/ica;Zagrebaèka županija;PBZ;Pristupaènost;Jednom u dva tjedna;"Internet bankarstvo; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Jednostavnija i jasnija usluga; Veæa sigurnost; Besplatne transakcije";3;2;2;5
56;25.3.2015 7:33;25.3.2015 7:36;ab91976bae8de5c023f1df2e30d8285f3f470e49;Od 19 do 25;Muško;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Jednom tjedno;Plaæanje raèuna;-;Bolja uputstva za postavljanje Internet usluga;3;2;2;4
57;25.3.2015 7:53;25.3.2015 7:56;226b5eb0f7c914587e8e17e4ae5e989c970143fa;Više od 25;Muško;Zaposlen/a;Grad Zagreb;Raiffeisen;Pristupaènost;Jednom tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Provjera stanja na raèunu; Plaæanje raèuna; Kredit";;Besplatne transakcije;5;4;4;4
58;25.3.2015 7:56;25.3.2015 8:00;87ce42603d7b13912b65bdd106588a90be920ba1;Od 19 do 25;Muško;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom tjedno;"Internet bankarstvo; Provjera stanja na raèunu";;"Nagrade (smanjene cijene za odreðene usluge); Besplatne transakcije";3;1;3;5
59;25.3.2015 8:06;25.3.2015 8:09;adead00a096ed15b0a653c95b070cd61fe875fa0;Od 19 do 25;Muško;Student/ica + zaposlen/a;Grad Zagreb;Splitska;Pristupaènost;Jednom u dva tjedna;Ne koristim bankarske usluge;;Veæa sigurnost;0;3;1;3
60;25.3.2015 8:19;25.3.2015 8:23;c74890f53da0f3cf1c89cdf58e810239a5719d43;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;Zagrebaèka ;Preporuka prijatelja ili rodbine;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu; Plaæanje raèuna";Aplikacija je super;Sve je savršeno, ne bih ništa promijenio/la;3;4;4;4
63;25.3.2015 9:10;25.3.2015 9:15;ff4325973bea48d1db4c080dbdf7aaf8e431a769;Od 19 do 25;Žensko;Srednjoškolac/ka;Meðimurska županija;Raiffeisen;Najbolji uvjeti i pogodnosti;Dva do èetiri puta tjedno;"Mobilno bankarstvo; Internet bankarstvo; Debitna ili kreditna kartica; Provjera stanja na raèunu";dfgdsghfhs;"Nagrade (smanjene cijene za odreðene usluge); Veæa sigurnost; Bolja uputstva za postavljanje Internet usluga; Besplatne transakcije";4;2;2;3
66;25.3.2015 10:34;25.3.2015 10:38;87ce42603d7b13912b65bdd106588a90be920ba1;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Pristupaènost;Jednom tjedno;"Debitna ili kreditna kartica; Studentski paket (uljuèuje sve); Provjera stanja na raèunu";;Besplatne transakcije;3;;;5
67;25.3.2015 10:56;25.3.2015 11:15;7ff7b3cfa55a56616876d2dacc0413229ffefdf3;Više od 25;Muško;Student/ica;Grad Zagreb;"PBZ; Zagrebaèka ";Najbolji uvjeti i pogodnosti;Jednom u dva tjedna;"Mobilno bankarstvo; Internet bankarstvo; Studentski paket (uljuèuje sve); Štednja";;Besplatne transakcije;3;3;5;4
69;25.3.2015 11:44;25.3.2015 11:49;87ce42603d7b13912b65bdd106588a90be920ba1;Od 19 do 25;Žensko;Student/ica;Grad Zagreb;PBZ;Preporuka prijatelja ili rodbine;Jednom u dva tjedna;Studentski paket (uljuèuje sve);;Jednostavnija i jasnija usluga;3;3;3;4
